,OBJECTID,link_4,link_3,link_2,hyperlink,projectno,year,GlobalID,Shape__Area,Shape__Length,EditYr,Edited,Link1True,Link2True,Link3True,Link4True
91,92, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_3734.pdf,Tract No 3734,1980.0,{718EE6BF-DD26-45E9-9443-F081F5A722C3},127322.9336,1526.1797080000001,,NO,True,NoLink,NoLink,NoLink
92,93, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/87050.pdf,87050,1984.0,{25040543-A80C-4325-9650-E321057C27A0},125825.4648,4286.852129999999,,NO,True,NoLink,NoLink,NoLink
93,94, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011.0,{C8071010-680F-4EB8-BE03-03B89306EFC4},124675.9336,6596.6960229999995,,NO,True,NoLink,NoLink,NoLink
94,95, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C71010.pdf,C71010,1995.0,{7581FB6D-4A50-41AA-B198-69AEAF2995EC},115403.1094,1290.563077,,NO,True,NoLink,NoLink,NoLink
95,96, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011.0,{79655378-93E0-4EFE-8C3A-36C4D087B19E},115031.918,5514.891182,,NO,True,NoLink,NoLink,NoLink
96,97, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_4284.pdf,Tract No 4284,1979.0,{5D964143-FB9F-41AA-9BB1-07E874BFD7E4},113000.9766,1518.2210539999999,,NO,True,NoLink,NoLink,NoLink
97,98, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C80110.pdf,C80110,2000.0,{2FCE1BF4-B687-4854-97B1-CF90F8711E24},109259.1797,9180.09339,,NO,True,NoLink,NoLink,NoLink
98,99, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C57210.pdf,C57210,1996.0,{CC0B31B9-8E3C-4083-AEC6-A04D49B15B85},107082.4336,1516.299164,,NO,True,NoLink,NoLink,NoLink
99,100, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C66610.pdf,C66610,1994.0,{7C334465-D825-4064-A1D1-C3BB501587D2},104697.9766,2101.388961,2017.0,YES,True,NoLink,NoLink,NoLink
100,101, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011.0,{068AD5A9-7B48-4AC5-B424-04A80D2A83CC},103999.4492,2661.117091,,NO,True,NoLink,NoLink,NoLink
101,102, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/B05110.pdf,B05110,2001.0,{DFD07161-04ED-4E4E-B8AD-899CF7F25671},102774.4531,2842.048254,,NO,True,NoLink,NoLink,NoLink
102,103, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/W03191.pdf,W03191,1999.0,{3FF0D746-A8D3-4670-91D0-A2A818E5EFEF},102240.9609,1306.196667,,NO,True,NoLink,NoLink,NoLink
103,104, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65510A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65510.pdf,C65510,1998.0,{F78B8E2F-CE97-4361-A894-AC6CDF74EADE},100390.0,2758.914475,,NO,True,True,NoLink,NoLink
104,105, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C211910.pdf,C211910,2002.0,{C0A30A94-C836-49A0-98C5-18A525EF381F},48108.89063,2431.7330660000002,2019.0,YES,True,NoLink,NoLink,NoLink
105,106, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011.0,{D61B38A0-F42C-473A-870E-366CF1C40C8B},92430.47266,1866.2285,,NO,True,NoLink,NoLink,NoLink
106,107, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C316510.pdf,C316510,2010.0,{7668EA7B-4C61-409D-B0C4-0DDC649915DD},92011.95313,1882.6235179999999,,NO,True,NoLink,NoLink,NoLink
107,108, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_4518A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/Tract_No_4518.pdf,Tract No 4518,1980.0,{8BD48EAB-6FD4-4214-BADC-E144E7637BCB},90145.49609,1916.4349780000002,,NO,True,True,NoLink,NoLink
108,109, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C228610.pdf,C228610,2004.0,{D9B1C350-9F53-4D3C-8A03-E20726D6A9DB},89317.96484,1340.0960699999998,,NO,True,NoLink,NoLink,NoLink
109,110, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C-06-4003-48.pdf,C-06-4003-48,0.0,{38B2370D-9FBE-46CA-B7D0-EA4531FACFCB},88928.84766,1347.9189199999998,,NO,True,NoLink,NoLink,NoLink
110,111, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C47710.pdf,C47710,1992.0,{B288F692-D01B-4CED-8573-29A77DDBDA08},31360.70313,3386.1052219999997,2019.0,YES,True,NoLink,NoLink,NoLink
111,112, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C76610.pdf,C76610,1997.0,{7B50DD8B-16FE-4420-B14E-0B6925792838},83967.48827999999,1155.9527150000001,,NO,True,NoLink,NoLink,NoLink
